Country,Human Freedom Score 2023,Personal Freedom Score 2023,Economic Freedom Score 2023,Overall Score 2023,Helped Strangers in 2023,Donated Money in 2023,Volunteered in 2023,Rank,SWL
Switzerland,9.01,9.39,8.47,42.0,42%,56%,28%,2.0,273.33
New Zealand,8.88,9.2,8.43,53.0,65%,58%,35%,18.0,246.67
Denmark,8.83,9.35,8.1,51.0,62%,64%,26%,1.0,283.33
Ireland,8.79,9.27,8.11,49.0,56%,60%,32%,11.0,253.33
Sweden,8.75,9.43,7.81,48.0,55%,65%,23%,19.0,246.67
Estonia,8.75,9.32,7.95,44.0,58%,52%,21%,139.0,170.0
Iceland,8.73,9.31,7.93,44.0,49%,63%,19%,4.0,260.0
Luxembourg,8.71,9.29,7.91,41.0,43%,49%,31%,12.0,253.33
Finland,8.7,9.33,7.81,44.0,57%,51%,25%,6.0,256.67
Norway,8.58,9.23,7.67,49.0,59%,61%,28%,23.0,246.67
Netherlands,8.57,9.14,7.76,47.0,45%,64%,32%,15.0,250.0
Taiwan,8.56,8.98,7.97,35.0,55%,38%,11%,68.0,220.0
Canada,8.55,8.96,7.98,54.0,67%,62%,32%,10.0,253.33
Australia,8.52,8.86,8.05,51.0,65%,56%,31%,26.0,243.33
Latvia,8.45,8.98,7.71,37.0,57%,39%,14%,154.0,156.67
Japan,8.4,8.83,7.79,18.0,21%,16%,17%,90.0,206.67
United States,8.39,8.57,8.14,58.0,76%,61%,38%,7.0,246.67
United Kingdom,8.39,8.66,8.01,49.0,51%,71%,26%,41.0,236.67
Lithuania,8.39,8.71,7.95,24.0,41%,19%,12%,155.0,156.67
Czech Republic,8.38,8.78,7.81,44.0,63%,49%,22%,77.0,213.33
Germany,8.37,8.82,7.73,44.0,64%,49%,19%,35.0,240.0
Belgium,8.33,8.97,7.43,42.0,52%,50%,24%,28.0,243.33
Portugal,8.27,8.79,7.54,31.0,53%,24%,15%,92.0,203.33
Austria,8.24,8.64,7.69,44.0,50%,55%,27%,3.0,260.0
Malta,8.2,8.53,7.73,49.0,56%,65%,25%,14.0,250.0
Chile,8.16,8.52,7.66,40.0,68%,34%,17%,71.0,216.67
Cyprus,8.15,8.56,7.57,42.0,63%,40%,24%,49.0,230.0
South Korea,8.12,8.58,7.47,38.0,57%,40%,18%,102.0,193.33
Slovakia,8.04,8.44,7.49,30.0,48%,25%,17%,129.0,180.0
Costa Rica,8.04,8.25,7.76,40.0,71%,30%,20%,13.0,250.0
Spain,8.03,8.38,7.52,37.0,55%,39%,17%,46.0,233.33
Cape Verde,8.0,8.45,7.38,,,,,100.0,193.33
Armenia,7.99,8.29,7.58,28.0,59%,17%,10%,172.0,123.33
Croatia,7.96,8.47,7.25,18.0,30%,17%,7%,98.0,196.67
Uruguay,7.96,8.6,7.06,41.0,70%,30%,23%,87.0,210.0
Italy,7.95,8.45,7.25,37.0,53%,42%,15%,50.0,230.0
Romania,7.9,8.05,7.7,29.0,56%,20%,10%,136.0,173.33
Slovenia,7.9,8.38,7.23,42.0,49%,49%,28%,67.0,220.0
France,7.86,8.18,7.4,37.0,40%,37%,33%,62.0,240.0
Seychelles,7.85,8.37,7.12,,,,,20.0,246.67
Bahamas,7.82,8.73,6.55,,,,,,
Georgia,7.8,7.87,7.71,34.0,72%,,22%,169.0,136.67
Montenegro,7.8,7.95,7.59,27.0,38%,33%,9%,,
Singapore,7.75,7.17,8.56,49.0,67%,55%,24%,53.0,230.0
Barbados,7.72,8.27,6.94,,,,,27.0,243.33
Hong Kong,7.7,7.1,8.55,39.0,54%,46%,16%,63.0,220.0
Poland,7.69,8.09,7.12,15.0,22%,18%,4%,99.0,196.67
Bulgaria,7.68,7.84,7.46,23.0,44%,21%,5%,164.0,143.33
Albania,7.67,7.72,7.6,28.0,52%,25%,8%,157.0,153.33
Moldova,7.66,8.01,7.18,34.0,67%,22%,13%,175.0,116.67
North Macedonia,7.64,8.06,7.06,32.0,49%,39%,9%,,
Mauritius,7.61,7.46,7.82,37.0,48%,31%,32%,73.0,216.67
Panama,7.57,7.62,7.51,42.0,68%,25%,32%,39.0,240.0
Peru,7.56,7.6,7.52,32.0,64%,13%,18%,115.0,186.67
Dominican Republic,7.56,7.74,7.3,45.0,74%,25%,35%,42.0,233.33
Jamaica,7.56,7.62,7.46,47.0,83%,20%,40%,44.0,233.33
